(2d, 7h, Td, Tc, Ts)
(6h, 6c, 9c, Qs, Kc)
(4c, 5c, 7c, Jc, Qc)
(4s, 5s, 8d, Jh, Ad)
(2d, 2c, 3d, 3c, 6d)
(2s, 6d, 7s, Ts, Jh)
(3d, 3c, 3s, 4s, 7c)
(2d, 8d, Jc, Js, Qc)
(2s, 3c, 5h, Qh, Kd)
(2h, 4h, 5s, 6h, Ah)
(8h, Ts, Td, Js, Kc)
(5c, 8d, 9c, Qd, Ks)
(7h, 9d, 9s, Th, Jd)
(3d, 4d, Js, Qc, Ks)
(3h, 3s, Jh, Qc, Kc)
(2s, 5c, 6s, 7d, Kd)
(5h, 5d, 6d, 8s, Ts)
(4s, 4h, 7d, 8h, Ks)
(2d, 7d, 8c, Td, Qs)
(2d, 3c, 3s, Jd, Qc)
(3d, 6c, 8d, 9d, Kc)
(2h, 4d, 5d, Qs, Qd)
(2h, 3d, 7h, 9d, Kh)
(2c, 7s, 9h, Qc, Kd)
(6d, 7h, 8s, 8h, Ad)
(8s, 9h, Ts, Jh, Qs)
(6s, 6h, 7h, 9d, Ac)
(3c, 5c, 6d, 7d, Qc)
(2c, 4h, 8h, Jh, Kc)
(6d, Qc, Kh, Ks, Ah)
(4c, 7d, 8c, 9h, As)
(3s, 6c, 7d, 8h, Qd)
(6s, 8c, Qs, Ks, Ad)
(7h, 9d, Ts, Qd, Ac)
(2h, 7h, 8s, Tc, Qh)
(3d, 4c, 5s, 7h, As)
(2h, 3h, Jc, Kh, As)
(2d, 4d, Qc, Qd, Ks)
(3s, 8d, Js, Ks, Ah)
(3d, 4c, 7c, Qh, Ad)
(2c, 3s, 7s, Tc, Qs)
(6c, 9s, Tc, Jh, Qd)
(3c, 5d, Td, Qs, Ah)
(3d, 4c, 9c, Kc, Ah)
(4d, 9d, Td, Qc, Kd)
(4s, 6h, 7s, 9h, Js)
(3d, 5d, 7d, 8d, Kh)
(4d, 7c, 9c, Ts, Jh)
(2s, 2d, 6d, Tc, Qd)
(2s, 3h, 6d, Ts, Qh)
(3d, 9c, Jh, Qc, As)
(2h, 3c, 4c, 5d, Jh)
(2h, 3c, 7s, Ts, Js)
(4c, 5h, 6s, 8h, Jd)
(5s, 8c, Jd, Jh, Kd)
(4h, 6s, 7s, Qh, Kc)
(3h, 4c, 7c, Qs, As)
(5h, 8h, Ts, Jc, Kd)
(3h, 5h, Js, Qd, Kh)
(3d, 5d, Qd, Qc, Ah)
(3s, 5h, 6s, Kd, As)
(3d, 6d, 8c, 8d, Tc)
(5s, 6c, 6d, 8s, 9s)
(3d, 5c, 7h, Qc, Ah)
(9s, Th, Td, Jc, Ac)
(3h, 4h, 9d, Kh, Kc)
(5h, 7s, Jd, Qc, Kh)
(2d, 3s, 5h, 7d, Qs)
(3c, 6d, 6h, 8s, Qh)
(4c, 4d, 5h, 9d, Th)
(2h, Js, Qs, Ad, Ah)
(7s, 9h, Qh, Qs, Kh)
(5d, 6h, 6d, 9c, Ad)
(4h, 4c, 5h, 7h, 9h)
(3d, 3c, 5d, 8d, Jd)
(2h, 6d, Tc, Js, Qd)
(2h, 2d, 7c, 8s, Kd)
(4d, 6d, 7h, 7d, Kc)
(4h, 7h, Ts, Jd, Qc)
(2c, Jh, Qd, Kd, Ks)
(3s, 3d, 7c, Kh, Kd)
(2s, 7d, 8c, 9h, Th)
(4s, 5c, 6s, 9h, Ad)
(2s, 7s, 8s, Ad, As)
(2c, 4h, 7s, Tc, Qh)
(8d, 8c, Th, Jc, Qh)
(7c, 7h, 9h, Th, Ac)
(6c, 8d, 8h, Tc, Kd)
(5h, 6c, 8h, 8d, Kd)
(3s, 7d, 8d, 8c, Tc)
(9d, 9h, Tc, Jh, As)
(7s, 7h, 8h, 9c, Qh)
(3s, 4h, 5s, 8c, Jh)
(7h, 9d, 9s, Ts, Ac)
(2h, 6c, 8c, Kh, Kd)
(3d, 6d, 6h, Td, Jd)
(3d, 4d, 5d, Ts, Jc)
(3d, 6h, 8s, 9s, Th)
(2c, 5d, 8s, Ts, Js)
(2s, 2d, 9h, Td, Qd)
(6c, 7s, 7h, 8c, 9h)
(2h, 4s, 6h, 7d, Jh)
(2d, 5d, 7d, 9c, Jh)
(3h, 5c, 7d, 8d, Qd)
(8s, Tc, Jh, Jc, Qs)
(3c, 5c, 8s, 9c, Th)
(4s, 5d, 6h, Ts, Js)
(5h, 5c, 6h, 9d, Tc)
(3d, 6s, 7c, 9h, Kc)
(4c, 4s, 9s, Js, Qd)
(2d, 5s, 6h, 9c, Th)
(2s, 3h, 6s, 6d, 6c)
(6c, 8s, 9h, Kd, Ah)
(5c, 6h, Jd, Qc, Ad)
(4h, Tc, Ts, Js, Ks)
(5s, 5h, 5d, Td, Qs)
(2d, 4d, 4c, 8d, Td)
(6c, 9h, Qc, Kc, Kh)
(2c, 6h, Jd, Qc, Qs)
(6d, 6s, 8h, Js, Qd)
(3h, 4s, 9d, Tc, Jc)
(6s, Qd, Kh, As, Ad)
(6h, Tc, Td, Jc, Ac)
(2h, 6h, 9c, Kh, Ks)
(2s, 7h, 7c, 8h, Ac)
(4c, 9s, Jh, Qc, Qd)
(3s, 5h, 7s, 8h, Jh)
(5h, 6s, 7c, 9c, Kh)
(8h, 8s, 9h, 9s, As)
(4s, 8h, 9d, Qs, Kh)
(2c, 4c, 8c, 9s, Jc)
(2h, 4s, Th, Kc, Ad)
(4s, 5d, 7c, 8d, As)
(6h, 7h, Qh, Kh, Ac)
(2d, 3c, 9h, Tc, Js)
(5h, Th, Tc, Qd, Kd)
(5d, 6c, 7s, Kh, Ah)
(6h, 7c, 8d, 9s, As)
(5h, 6c, Qh, Kd, Ad)
(3d, 6d, Jh, Qc, As)
(3s, 4s, 4d, 7d, Qc)
(3s, 5c, 7d, 8h, Tc)
(2s, 5s, 7c, 9s, Kh)
(2h, 3h, 3s, 7d, Js)
(2c, 2h, 5s, Td, Js)
(2d, 4h, 4c, 6d, Ad)
(3s, 7c, Tc, Jc, Kc)
(4h, 6d, 7s, Kd, Ah)
(4c, 8h, Ts, Qh, Qd)
(3d, 8c, Td, Jd, Qd)
(5h, 9s, Tc, Qd, Kh)
(2d, 5h, 9c, 9h, Ad)
(4c, Jd, Kh, Kd, As)
(4d, 5s, 6c, 9c, Ts)
(7h, 8c, 9c, Td, As)
(6d, 7c, Tc, Kd, Ah)
(2d, 7s, 8c, Th, Ad)
(3s, 7h, 8c, 9h, Jh)
(8c, 9s, Tc, Jh, Kh)
(3h, 6s, 7h, 9s, Jc)
(5c, Tc, Jc, Ks, As)
(3d, 7d, 7h, 8s, Tc)
(4h, 5c, 8d, Js, Ac)
(3c, 8s, 9d, Ks, Kc)
(6d, 8h, Th, Qs, Ac)
(3c, 7h, 7s, 8s, 9c)
(3s, 9d, Ts, Qc, Ac)
(2c, 3c, Tc, Qc, Kh)
(3h, 5h, 9h, Ks, Ah)
(6s, 7c, 9d, 9h, As)
(4c, 4s, 5s, 6h, 8s)
(7s, 8d, Td, Jh, As)
(4h, 9c, Ts, Ah, Ad)
(2s, 2c, 4s, 8h, Ac)
(5h, 6h, 9h, 9c, Td)
(5h, 6d, Jd, Jc, Qc)
(4c, 9d, 9c, Jd, Qc)
(2h, 4s, Ts, Kc, Ad)
(2d, 7d, 7s, 8c, Ad)
(5c, 5s, 6s, Qd, As)
(2s, 6h, 8d, Qd, Ah)
(2s, 3d, 9c, Tc, Ad)
(2d, 4s, 5s, Th, Ad)
(2h, 8c, 8s, 9h, Ad)
(3c, 3d, 4d, 9c, Jc)
(3h, 5d, 7c, 9s, Ah)
(4s, 7d, 9h, Qc, Kc)
(2d, 5d, 6c, 8s, 9c)
(7d, 9h, Ts, Tc, Ah)
(3s, 9d, Qc, Kh, Kc)
(5c, 6h, 7s, 9d, Ad)
(2c, 5d, 5c, 9h, Jc)
(3h, 5h, 7s, 8c, Qd)
(4d, 4c, 7h, Tc, Jd)
(2c, 3c, 4c, 5c, 6s)
(7s, 7c, 9c, 9s, Ks)
(2h, 7c, 8s, 9s, Js)
(6h, 6s, 7c, 8s, Tc)
(3h, 4h, Th, Qs, Kc)
(2d, 6h, 7s, 9h, Ac)
(5c, 8s, Qh, Qd, Ac)
(8c, 9h, 9s, Jd, Ac)
(5h, 6d, 7h, Td, Ac)
(2s, 3s, 3d, 5d, Kc)
(2h, 6h, Td, Kh, Ac)
(2h, 7h, Jd, Kd, Ac)
(2d, 4h, 4c, Kh, Ah)
(3s, 5s, 6c, Qd, As)
(6d, 8d, 9d, 9c, Qd)
(6c, 7s, 8c, 9c, Ks)
(3s, 6d, Qc, Ks, Ad)
(2c, 4s, 5h, 6d, 8c)
(3c, 3s, 6s, Th, Kc)
(2d, 3d, 7h, Jd, Qc)
(3c, 5s, 6d, Ts, Kd)
(4d, 4c, Tc, Td, Ts)
(5s, 5h, 5d, 7d, Js)
(7h, Td, Jd, Qs, Ks)
(4d, 5c, 5h, Qc, Ac)
(4s, 7h, 8d, Jd, Qd)
(2h, 5h, 8h, 8s, Tc)
(6c, 9c, Ts, Jc, Ah)
(5s, 9s, Qs, Kc, Ks)
(3s, 5c, 6c, 6h, 9d)
(2d, 6d, Tc, Js, Ks)
(2c, 3d, 6d, 7h, Ts)
(2h, 6h, 7h, 8h, Jc)
(2h, 3s, 4h, 7d, 9d)
(4s, 4c, 6d, 7c, Qh)
(2c, 7s, 8s, Jc, As)
(4h, 6c, 7d, 9d, Jd)
(4h, 6s, 9s, Td, Qh)
(2d, 2h, 6d, 7c, Ac)
(2c, 3h, 4s, Jc, As)
(3c, 4s, 7d, Jd, Kh)
(4h, 6s, 9h, Ts, Jc)
(2d, 2c, 3h, 8c, Jc)
(3d, 5s, 7h, 8c, Kh)
(2s, 4h, 5d, 8c, Ks)
(2h, 4c, 8d, Qh, Qc)
(6d, Jh, Kc, Ac, Ad)
(2s, 2d, 7d, Kh, Ks)
(2h, 4d, 5d, 9d, Ks)
(4s, 7c, 8d, Th, Qc)
(2h, 4c, Qc, Ks, Kd)
(5h, 9h, Qh, Ah, Ac)
(5h, 7s, Td, Kc, Ad)
(7s, 8c, 9c, Tc, Qd)
(2h, 5h, 9s, Th, Qh)
(4s, Td, Qs, Kc, As)
(4c, 5d, 5c, 5s, 8s)
(6c, 7c, 8c, 9d, As)
(3d, 7c, 9s, Js, Kh)
(2s, 4h, 6s, 6h, 8s)
(3h, 3c, 9h, Jd, Ad)
(2s, 5d, 7s, 9s, As)
(2c, 2d, 3d, Js, Kc)
(2s, 2h, 2c, 7c, Qc)
(2c, 5s, 7s, 7c, 7d)
(2c, 5c, 7c, Jd, As)
(6d, 9c, Td, Ah, Ad)
(2c, 2s, 5d, 7s, Ts)
(2d, 4h, 7d, 7h, Kc)
(2s, 5d, 9h, Th, Kd)
(4s, 8c, 9d, Ts, Qd)
(2s, 8c, Tc, Qc, Kd)
(2c, 5d, Td, Js, Ah)
(4d, 4s, 5s, 6h, Qh)
(2d, 5h, 8h, Ts, Ks)
(2h, 4h, 5s, 5h, Qh)
(2d, 2s, 4h, 6s, Kh)
(4h, 5s, 5c, Qc, Kc)
(Th, Jd, Qs, Ac, Ah)
(3h, 3d, 8h, Td, As)
(4h, 9h, Jd, Jc, Kd)
(2d, 5c, 9c, Th, Ah)
(2d, 9s, Js, Qc, Kh)
(3c, 7h, 9h, Kd, Ac)
(2c, 3c, 5h, Qs, Kh)
(5h, 6c, 9c, Kh, Ad)
(8c, 9s, 9h, Kc, Ac)
(3h, 5s, 6c, 7d, Tc)
(3s, 7d, Qs, Kc, Ac)
(2h, 2s, 4h, Js, Ks)
(Ts, Qd, Qs, Qc, Kc)
(4h, 4d, 9s, Jc, Ks)
(6h, 8s, 9s, Qd, Ac)
(3h, 7d, Ts, Th, Ac)
(5c, 7c, Ts, Kc, Ad)
(2h, 6c, 9s, Td, Qc)
(4s, 7d, 9d, Th, Ks)
(2h, 6h, 7s, 9d, Ks)
(5d, Ts, Tc, Qh, Kd)
(6s, 7s, 8s, Ac, Ah)
(5c, Tc, Td, Ts, As)
(2s, 4s, 5d, Qs, Ac)
(2d, 5h, Ts, Qc, As)
(2d, 4s, 4d, 7d, Qs)
(5d, 9s, Th, Jc, Qd)
(2d, 2h, 4d, 7h, As)
(6d, 7d, Jd, Qc, Kd)
(3s, 4s, 5h, 7s, 9s)
(7c, 9c, Qs, Ac, Ad)
(7c, Jd, Qd, Qh, As)
(4s, 7c, 7s, Ts, Jc)
(2c, 3c, 5h, Kc, As)
(2s, 4h, 5d, Ks, As)
(4s, 8h, Jh, Js, Kh)
(2h, 4c, 5s, 7c, 8d)
(2s, 6h, Td, Js, Qs)
(2s, 3d, 3c, 5c, 6s)
(2h, 6d, 7s, 8d, Qh)
(3d, 3s, 6s, 8s, 9h)
(4c, 7s, 9s, Jd, Qc)
(3h, 9c, Qs, Kd, As)
(2s, 4d, 6h, Kh, Kc)
(4s, 5d, Qd, Ac, Ad)
(2d, 4h, 8c, 8h, Ts)
(5h, 7c, 7d, Ac, Ad)
(3c, Th, Kd, Ac, As)
(5s, 7d, Kd, Kc, Ac)
(6s, 6h, 7h, 9h, Ks)
(8h, 9s, Js, Qh, Ac)
(2d, 3d, 5c, Qd, Ks)
(3h, 8c, Jc, Jd, Ah)
(2s, 6h, Qd, Kh, Ad)
(2h, 6d, 6s, 8h, 8d)
(3s, 6s, 8d, Qd, Ah)
(4d, 6c, 8c, Td, Th)
(3c, 4c, 7h, 8c, 9h)
(4s, 5s, 7h, 9h, 9d)
(3h, 9c, Tc, Kh, Ad)
(3d, 3s, 6s, 9s, Td)
(5c, 8h, Td, Tc, Qs)
(3s, 6c, 9c, 9s, Qs)
(2c, 4c, 6d, 7c, Ad)
(5d, 7s, Th, Js, Kd)
(7d, 9h, Th, Kd, As)
(2c, 2s, 3h, 3s, 8s)
(9c, Ts, Qs, Kh, Ks)
(2h, 2d, 8c, Jd, As)
(8c, 8h, Tc, Js, Kd)
(7h, 8d, 9s, Kc, Ah)
(7c, 8c, 8s, Jc, Kh)
(2s, 5c, 6s, 6h, Qd)
(2d, 5d, Tc, Jh, Kh)
(2c, 4h, 6c, 9c, Ac)
(4h, 6c, 8h, Ts, Ks)
(5c, 7d, 8c, Ts, Jc)
(2s, 4s, 5d, 8d, Ad)
(2s, 6d, 8c, 9c, As)
(4c, 6h, 8s, Jh, Ad)
(7s, 8c, Jc, Js, Qh)
(4s, 7d, 7h, 8d, Tc)
(3c, 3d, 7h, Ts, Js)
(2h, 4c, 4h, 6d, Qs)
(2d, 8s, 9h, Th, Kd)
(4s, 6h, 7s, 9d, Ah)
(4h, 6c, 8d, 9s, Qc)
(2c, 2d, Jh, Js, Ac)
(4s, 4c, Jc, Ks, Ah)
(4c, 7s, 8s, Jc, As)
(4c, 5c, 7s, Jh, Kc)
(4c, 5h, 6s, 8c, Js)
(3d, 6h, 7d, 8c, 9d)
(2h, 4d, 7s, Jd, Qc)
(4h, 6s, 8d, 9s, 9h)
(4h, 5c, 7c, 9s, 9h)
(5c, 6d, 8h, 8s, As)
(3c, 3s, 4d, Jd, Jh)
(2s, 3c, 4d, 5c, 8d)
(4s, 4h, 9s, Tc, Ad)
(2d, 3h, 6h, Qs, As)
(2h, 5d, 8d, Ts, Qc)
(4h, 5d, 6h, 8s, Th)
(4d, 5s, 7c, Ts, Kc)
(2c, 4h, 4d, 7s, 8h)
(5s, Qh, Kc, Kh, Ac)
(4s, 5d, 8h, Js, Ah)
(4d, 8d, Ts, Td, Ac)
(5s, 6h, Th, Ah, Ad)
(6d, 6c, Qh, Ah, Ad)
(3s, 3h, 6d, 9c, Ts)
(4d, 8s, 9h, Tc, Ad)
(2c, 4h, 5h, 7c, Tc)
(6d, 6c, 6h, 9d, Kh)
(2h, 5s, 6h, 7h, Qd)
(5c, 8d, 8s, 9s, As)
(3h, 8s, Tc, Js, Kh)
(2c, 3d, 6c, 9s, Ac)
(2s, 9s, 9h, Tc, Jh)
(3h, 3s, 9d, Ts, Jd)
(5c, 8h, 8d, 8c, Jh)
(3c, 4c, 6h, 7s, Qd)
(2h, 2s, 3c, 5c, 9s)
(6s, 6c, Td, Th, Qs)
(5s, 6c, 7c, 7h, 8s)
(5d, Td, Qs, Kh, Ah)
(3c, 5s, 5h, 8s, 9d)
(7d, Td, Qh, Ah, Ac)
(4s, 5s, 6c, 7s, 7d)
(2d, 3s, 5d, 6d, 6s)
(2s, 3s, 3c, 7s, Th)
(3c, 9s, Td, Kc, Ad)
(2s, 3d, 7c, Th, As)
(4d, 4s, 7s, 8s, Qc)
(8h, 9d, Tc, Jh, Jd)
(3c, 5s, 5h, 9s, Ts)
(5h, 6c, 9s, Ks, Ah)
(2s, 4d, 6c, 7h, 8c)
(6d, 7s, Tc, Jh, As)
(2d, 2s, Td, Kc, Ah)
(6h, 9d, Th, Ah, As)
(7c, 9d, Td, Jd, Ah)
(8c, Tc, Jh, Kc, Ad)
(2s, 9d, Qd, Qs, Ac)
(2h, 6h, 9d, Td, Qs)
(6h, 9c, 9h, Th, Qh)
(5d, 7d, 8h, 8d, As)
(4d, 9s, Ts, Jd, Qd)
(2h, 3c, 6h, 8h, Qc)
(3s, 3d, 7d, 8c, Js)
(2d, 5h, 7h, Jd, Kh)
(5s, 7h, 9s, Js, Ad)
(3c, 4h, 7h, 9s, Jh)
(4h, 5h, Qd, Kh, Ad)
(2h, 3c, 6c, 9h, Jc)
(5h, 5s, 5d, 7s, Ts)
(3d, 4d, 6s, 7c, 8c)
(2c, 6s, 6c, 9s, Ac)
(2s, 6h, 9c, Jc, Kh)
(3h, 4d, 8d, 8c, Kh)
(3s, 6h, 8d, 9d, Th)
(3h, 6d, 9s, Tc, Qh)
(6s, 6h, 8h, 8s, Jd)
(2s, 5c, 6s, 8d, Qc)
(7h, 9d, Qs, Qd, Ah)
(4h, 4s, 6c, 9h, Kd)
(3h, 6h, 7d, 8s, Ts)
(2s, 3d, 5c, 6h, Qs)
(2s, 5c, 6h, 7d, Ac)
(3c, 4s, 5d, 6d, Kd)
(3h, 5d, 6s, 9d, As)
(5s, 5h, 7h, 9c, Qh)
(2s, 3h, 6s, 8s, Jd)
(7s, 8h, 9d, Td, Qs)
(3d, 4h, 8s, Jh, Js)
(4d, 5d, 9s, Qd, Ah)
(3d, 5d, 5h, 6d, Tc)
(2s, 6s, 7h, Td, Js)
(9s, Tc, Jh, Qc, Ah)
(3d, 4s, 5h, 6h, 7d)
(3s, 5s, 6h, Jc, As)
(3h, 8s, 9s, Td, Ac)
(6d, 7s, Tc, Jh, Qc)
(4s, 5h, 8d, Kc, Kd)
(3c, 8h, Jc, Js, Ad)
(5c, 8s, Tc, Th, Qc)
(7c, 7d, 8h, Qc, As)
(2d, 3h, 4c, 9s, Qd)
(8c, 9s, Tc, Td, Js)
(3c, 6h, 7s, 9h, Qs)
(7c, Th, Ts, Jd, As)
(3c, 4h, 5c, 7s, Th)
(7s, 9s, Tc, Qh, Ah)
(5s, 6d, 8h, 9d, Kd)
(2d, 5s, 7s, Ts, Qs)
(2c, 5c, 7h, Ts, Kc)
(4s, 6h, 7s, 9h, Kc)
(3s, 5c, Ts, Tc, Kc)
(3s, 8h, Jh, Qh, Ks)
(3d, 5h, 8c, 8d, 9s)
(2s, 6h, 8d, Kc, Ah)
(6d, 6h, 8d, Qs, Kh)
(5s, 7s, 8d, Ac, As)
(5h, 6s, Ts, Qh, Kc)
(3s, 4d, 6c, Td, Qh)
(3s, 3h, 6c, 7c, As)
(4d, 5d, 8s, Kd, Ac)
(3c, 4s, 5h, 9c, Ts)
(5c, 9h, 9d, Jc, Kd)
(2c, 7s, 9s, Th, Ah)
(7d, 8s, 9c, Js, Kd)
(3d, 7d, Ts, Jd, Qh)
(2c, 2h, 4s, 7h, Th)
(3d, 6h, 8h, Td, Ac)
(4d, 5s, 7c, 7h, Kh)
(4s, 8c, 9d, Th, Qh)
(4c, 6h, Tc, Qd, Ah)
(3d, 8d, Td, Qc, Kd)
(3s, 5c, 6s, 9h, Js)
(3h, 6h, 7h, 7c, 8s)
(4c, 5c, 8d, 9d, Qs)
(6c, 6s, 9s, Ks, Ah)
(4s, 8d, Ts, Js, As)
(3c, 4d, 7h, 7s, 9h)
(2d, 3d, 4d, 6h, As)
(2s, 4d, 6c, 7h, 9c)
(3d, 5c, 8h, Jd, Kd)
(5c, 8h, Qd, Kc, Ks)
(4c, 5h, 8c, 8h, 9c)
(3h, 7c, Tc, Jc, Qh)
(2d, 3h, 4c, Jc, Qs)
(3s, 4h, 7c, Qc, Ad)
(3h, 4c, 4h, 9h, As)
(6h, 6d, Js, Jd, Ac)
(2c, 4h, 7c, Kc, Ks)
(4c, 5c, 7c, 8d, 9d)
(2s, 6h, 9d, Js, Ad)
(2s, 2c, 6c, 6d, 7d)
(4h, 7s, 9s, Ts, Ks)
(7d, 8d, Tc, Jh, Qc)
(4c, 7h, Jh, Qd, Qc)
(3c, 5c, 7h, 8h, 8c)
(8c, Tc, Js, Kd, Ks)
(3h, 4h, 6h, Th, Ah)
(3d, 5h, 6s, Qs, Kc)
(2c, Jh, Qc, Kd, Ad)
(2s, 2d, 5d, Jh, Ks)
(2h, 4d, Jc, Qd, Kc)
(2d, 2c, 4s, 4h, Jh)
(6c, 7c, 8c, Qc, Ac)
(4s, 5h, 6d, Td, Kh)
(3d, 4s, 4d, 5h, Ac)
(2h, 3c, 4h, 8h, Ah)
(2h, 3c, 5d, 7s, Ad)
(4s, 4c, 9h, Qs, Qh)
(4s, 5d, Td, Qd, Ah)
(8c, 8d, Tc, Jh, Qd)
(2s, 3h, 9s, Tc, Kh)
(2h, 3c, 3s, 6h, Ad)
(2c, 5h, 5c, Tc, As)
(5s, 6c, 7s, 7c, As)
(3s, 3d, 3h, 5s, 8h)
(3c, Td, Jc, Qh, Ad)
(3s, 4s, Jh, Ad, Ah)
(4h, 4c, Tc, Kc, Ad)
(8s, 9s, 9c, Tc, Jd)
(5d, 5c, 5s, 7h, 7s)
(2d, Td, Js, Qd, Ah)
(2d, 3s, Ts, Td, Qd)
(7d, Td, Jc, Qd, As)
(4s, 4h, 9d, Qs, As)
(2s, 7h, 9c, Td, Ah)
(3c, 4c, 6c, Tc, Td)
(2c, 6c, 6d, 7c, Td)
(5d, 8s, Jh, Kh, Kd)
(4c, Ts, Qs, Ks, Ah)
(5c, 6c, 6h, Kd, Ah)
(2c, 3d, 7d, 9s, Ad)
(5s, 7h, 9d, 9h, Ah)
(2c, 6h, Th, Kc, Ac)
(2s, 8h, Ts, Td, Jh)
(2c, 4h, 5s, Jd, Ks)
(3h, 5c, 5h, 8s, Qc)
(9d, Td, Ks, Kc, Kh)
(2s, 4h, 9h, Kh, As)
(8s, 8d, 9s, Qs, Qd)
(2c, 4c, 6h, 8h, 8d)
(5s, 5d, 7d, 7s, 8h)
(5s, 5d, Kd, Kc, Ah)
(2d, 2h, 8s, Tc, Ad)
(4c, 8c, 9h, Td, Js)
(3s, 4c, 7h, Qs, Ah)
(2s, 6s, 7c, 7d, Th)
(2h, 3s, 5d, Qc, Ah)
(3s, 5h, 8c, Jh, Ks)
(3c, 7s, Jh, Kc, Ks)
(3c, 7c, 8h, Ts, Kh)
(7c, 9s, Tc, Kd, Kc)
(3c, 4s, 6c, 9d, Th)
(3d, 7s, 9s, Th, Ts)
(2s, 7d, 9s, Td, Th)
(3c, 5c, 7s, 8h, Th)
(4c, 5s, Kh, Ks, Kd)
(4h, 4d, 5c, 6d, 7s)
(4s, 6c, 6s, 7d, 8d)
(3d, 4s, 6s, 7s, 9s)
(4h, 6h, 7h, 9d, Ah)
(2s, 3s, 4c, Jc, Qd)
(4h, 8s, 9s, Kh, Kc)
(3h, 5d, 7s, Qh, As)
(3h, 4d, 4c, 7s, Qc)
(6h, 7s, 8d, Tc, Qc)
(6h, 8h, 9h, 9d, Ks)
(3s, 7d, Ts, Jh, Qs)
(2h, 3d, 3s, Ts, Kc)
(2h, 4c, 7h, 9s, Tc)
(2c, 3d, 9c, 9s, Kc)
(5d, 6s, 6h, 9d, Ah)
(2c, 2h, 3h, 3d, Qc)
(3d, 4h, 6c, 9h, 9d)
(3s, 6c, 7d, 9s, Ts)
(4d, 5h, 7c, Jc, Ad)
(4h, 6h, Qh, Qc, Ad)
(2h, 4s, 6d, 6c, 8s)
(5c, 8h, Tc, Qc, Ad)
(4d, 5s, 6h, 7d, 8c)
(2c, 3s, 5c, 8c, Qc)
(3c, 5c, 9d, Tc, Ks)
(2c, 7d, 8s, Qh, Qc)
(4c, 6s, 6c, Jc, Ah)
(5d, 6s, 6d, 6c, Qc)
(2c, 4d, 6d, Td, As)
(4d, 7h, Jh, Qc, Kc)
(3d, 4c, 5s, 7c, 9h)
(3c, 4h, 7d, Qh, Kh)
(5d, 6h, 8d, Kd, Ah)
(3c, 6h, 8c, Ks, Ah)
(3c, 3d, Ts, Js, Jc)
(2h, 7d, 8h, Ad, Ac)
(6d, 8h, Qh, Qc, Ks)
(3h, 9h, Th, Js, Jd)
(2h, 2d, 3h, Tc, Jh)
(2d, 7c, 7s, 8c, Kc)
(4s, 5c, 8s, Th, Kc)
(2d, 2c, 3c, 7c, 8h)
(5h, 5c, 8d, 9h, Jh)
(2d, 4d, 4c, 6h, Kh)
(2h, 4h, 5s, 6h, Js)
(2s, 2h, 5d, Tc, Ad)
(4c, 8d, Tc, Jd, Kd)
(2c, 5h, 6c, 8h, Ts)
(4c, 6c, 8c, Jd, Ac)
(8s, 8d, 9d, Th, Ts)
(8d, 9d, Js, Kd, Ad)
(2d, 3s, 6s, 6c, Ah)
(7d, 9c, Tc, Jh, Ad)
(2s, 3c, 4h, Tc, Qd)
(4s, 7s, Js, Kd, As)
(6d, 7d, Th, Td, Ks)
(2d, 6c, 7h, 9s, Td)
(2c, 5h, 6h, 9d, Ad)
(2d, 4s, 4d, Ks, Ah)
(3c, 5s, 7s, Td, Jd)
(5s, 5c, 8s, 9h, Td)
(3h, 6c, 7c, 8d, Jd)
(2s, 2c, 2d, 4s, 9c)
(4c, 5c, 8s, Th, Kh)
(2c, 4c, 7h, Js, Qc)
(6d, 7h, 8s, Jh, As)
(2h, 4s, 6s, Td, Ks)
(5h, 8c, 8s, Jd, Js)
(4c, 5c, Qd, Ks, Ah)
(3c, 4d, 7s, Ts, As)
(2s, 4c, 4s, 8s, 9h)
(3s, 5c, 6c, Tc, Qs)
(6d, 7s, Td, Kc, Ac)
(6c, 8h, Td, Ts, Ks)
(3c, 7h, Tc, Kh, Ac)
(2c, 4d, 7s, Qs, Ks)
(4c, 6s, 7c, 8d, Jd)
(2d, 5c, 6h, 7s, Qc)
(3d, 7s, Td, Kd, Kh)
(3d, 8d, 9s, Td, Qs)
(3h, 6d, 8s, Qh, As)
(2h, 4d, 6h, Td, As)
(6s, 9c, 9d, Ad, Ah)
(2s, 5c, 9h, Qs, Ks)
(4h, 6d, Tc, Jc, Kh)
(3h, 5c, 6d, Kh, Ks)
(2c, 4d, 4s, 6s, Qc)
(2h, 5h, 7s, 8c, 8s)
(3s, 4d, 5d, Qs, Ks)
(2c, 5s, 8d, 9d, Jh)
(4c, 6c, 7h, 9h, Ks)
(3h, 4d, 5h, 7c, Tc)
(9h, Tc, Jc, Kd, Kc)
(3d, 4d, 5d, 6d, Ac)
(2c, 3s, 3d, Ts, Ks)
(3h, 4h, 4s, 6s, 9h)
(4h, 7c, 9h, Tc, Qd)
(4s, 5c, 7s, Kh, Kd)
(3h, 5s, 6d, 6c, Jd)
(3s, 8c, 9h, Ts, Qs)
(6h, 9c, Th, Tc, Qs)
(3s, 6s, 7h, 8h, Th)
(7c, 9h, Qc, Kd, Kh)
(4c, 4s, 5c, 6h, 7c)
(7h, 9d, Qs, Qc, Ah)
(2c, 3s, Tc, Js, Qd)
